query_id,verified_count,failed_count,error_count,total_count,verified_queries,failed_queries,error_queries,selected_query,query_elapsed_time
agg_queries_query084_0,16,0,10,26,8;1;6;10;13;7;4;15;14;2;11;16;17;3;20;21,,24;23;29;26;22;28;25;31;27;30,2,8:0.020390748977661133;1:0.05450129508972168;6:0.039972782135009766;10:0.036286115646362305;13:0.03534722328186035;7:0.06677818298339844;4:0.056139469146728516;15:0.05028390884399414;14:0.07169866561889648;2:0.015716552734375;11:0.031719207763671875;16:0.18101048469543457;17:0.029271364212036133;3:0.05502438545227051;20:0.03511810302734375;21:0.018253564834594727
multi_block_queries_query001_0,6,0,19,25,3;7;9;17;13;19,,4;1;8;10;12;15;16;11;20;18;14;22;24;26;28;27;29;30;31,7,3:0.058614492416381836;7:0.03593182563781738;9:0.03901362419128418;17:0.04432344436645508;13:0.044159650802612305;19:0.0386962890625
multi_block_queries_query083_0,15,0,14,29,2;1;3;6;10;8;9;7;16;12;19;13;20;21;15,,4;11;17;14;22;24;25;23;27;26;28;29;31;30,19,2:0.08585929870605469;1:0.09729194641113281;3:0.09251689910888672;6:0.15765047073364258;10:0.08788418769836426;8:0.23425054550170898;9:0.08730626106262207;7:0.12281560897827148;16:0.10248494148254395;12:0.15372514724731445;19:0.05177783966064453;13:0.09097695350646973;20:0.14886879920959473;21:0.09114456176757812;15:0.1521451473236084
multi_block_queries_query032_0,20,0,10,30,1;9;15;7;4;16;19;13;14;10;8;17;11;20;6;12;21;18;5;3,,31;27;25;28;26;30;22;29;24;23,8,1:0.09394168853759766;9:0.05699634552001953;15:1.0630338191986084;7:0.0840311050415039;4:0.05583977699279785;16:0.3566722869873047;19:0.0568544864654541;13:0.0660562515258789;14:0.07378220558166504;10:0.054817914962768555;8:0.05412864685058594;17:0.054230451583862305;11:0.0556182861328125;20:0.05523514747619629;6:0.05454897880554199;12:0.07437944412231445;21:0.0704798698425293;18:0.05582308769226074;5:0.05615997314453125;3:0.05480194091796875
agg_queries_query091_0,19,0,10,29,1;3;2;4;5;8;7;12;11;9;16;13;19;6;14;21;17;20;18,,27;28;24;23;22;29;26;30;25;31,4,1:0.11461925506591797;3:0.08930611610412598;2:0.1302943229675293;4:0.08403849601745605;5:0.24399995803833008;8:0.2647099494934082;7:0.25299620628356934;12:0.2645580768585205;11:0.09143257141113281;9:0.27466487884521484;16:0.10363054275512695;13:0.2454547882080078;19:0.09242606163024902;6:0.8669083118438721;14:0.2501528263092041;21:0.09331011772155762;17:0.24429965019226074;20:0.28953981399536133;18:0.3015727996826172
multi_block_queries_query080_0,1,2,25,28,21,8;18,2;4;5;20;6;7;1;10;11;13;12;14;15;16;17;24;19;22;28;25;26;29;23;30;31,21,21:0.5419061183929443
multi_block_queries_query058_0,7,0,21,28,1;9;5;6;8;18;21,,3;17;4;14;11;10;7;12;16;13;2;19;23;24;26;27;22;29;28;30;31,6,1:0.09694814682006836;9:0.12447595596313477;5:0.12814903259277344;6:0.09392309188842773;8:0.10256171226501465;18:0.11155867576599121;21:0.12093901634216309
agg_queries_query100_0,7,11,11,29,7;6;12;5;21;15;20,1;4;10;3;13;19;2;11;16;14;8,9;22;25;29;26;23;27;31;30;28;24,12,7:0.2726104259490967;6:0.2913227081298828;12:0.2712116241455078;5:0.3096013069152832;21:0.28405165672302246;15:0.32453083992004395;20:0.3039546012878418
multi_block_queries_query081_0,8,8,13,29,4;14;2;21;12;20;19;9,3;8;13;11;16;15;10;18,1;5;24;22;29;28;26;27;23;17;31;25;30,14,4:0.2458782196044922;14:0.24199485778808594;2:0.29955601692199707;21:0.3296325206756592;12:0.250349760055542;20:0.3165271282196045;19:0.3012533187866211;9:0.3222169876098633
agg_queries_query050_0,18,0,10,28,3;6;8;5;9;2;13;12;10;11;4;14;18;20;17;19;16;15,,1;30;22;23;25;27;24;29;28;31,12,3:0.01700282096862793;6:0.018712759017944336;8:0.018816471099853516;5:0.023979663848876953;9:0.02048468589782715;2:0.018900156021118164;13:0.01912856101989746;12:0.015941858291625977;10:0.019314050674438477;11:0.0194089412689209;4:0.021649837493896484;14:0.021463632583618164;18:0.02042555809020996;20:0.02136373519897461;17:0.019300460815429688;19:0.020089149475097656;16:0.023174524307250977;15:0.022153854370117188
multi_block_queries_query069_0,10,10,9,29,7;8;15;17;13;16;19;20;21;2,1;3;4;5;10;12;14;9;11;18,30;25;22;24;23;29;27;28;31,21,7:0.2655646800994873;8:0.29731225967407227;15:0.25015807151794434;17:0.2613179683685303;13:0.30888986587524414;16:0.26953625679016113;19:0.2911252975463867;20:0.2697582244873047;21:0.2015981674194336;2:0.24357843399047852
multi_block_queries_query038_0,11,9,10,30,1;7;4;3;13;14;15;20;19;17;21,2;6;5;8;12;9;11;10;18,23;26;25;28;24;31;22;27;30;29,13,1:0.2232224941253662;7:0.22798609733581543;4:0.26627445220947266;3:0.2277355194091797;13:0.1342945098876953;14:0.37363171577453613;15:0.18096590042114258;20:0.37787961959838867;19:0.23067951202392578;17:0.19640064239501953;21:0.39983201026916504
spj_queries_query050_0,1,5,20,26,21,3;5;11;18;17,2;4;1;7;8;9;6;13;15;16;22;24;25;26;30;23;28;27;29;31,21,21:0.022971153259277344
multi_block_queries_query014_0,8,4,19,31,19;21;17;7;12;11;4;18,2;5;14;1,24;25;27;28;26;30;29;31;8;3;15;6;23;20;22;13;9;10;16,18,19:0.9091160297393799;21:0.8689563274383545;17:0.836127758026123;7:0.9945492744445801;12:2.5349035263061523;11:0.9050858020782471;4:0.8516170978546143;18:0.8327035903930664
spj_queries_query084_0,2,17,10,29,9;21,3;4;1;2;6;5;7;8;10;12;11;14;13;17;16;19;20,22;23;24;26;25;27;28;29;31;30,21,9:0.023736000061035156;21:0.02052021026611328
multi_block_queries_query010_0,19,0,10,29,3;1;4;2;8;10;11;15;6;13;14;12;9;5;21;16;19;17;20,,18;7;29;22;24;27;25;28;23;26,13,3:0.2639436721801758;1:0.33159470558166504;4:0.2699158191680908;2:0.2533893585205078;8:0.3195347785949707;10:0.33939552307128906;11:0.26064157485961914;15:0.2586374282836914;6:0.2685680389404297;13:0.008734941482543945;14:0.264850378036499;12:0.33835649490356445;9:0.3465917110443115;5:0.25652623176574707;21:0.25817275047302246;16:0.35358333587646484;19:0.2627136707305908;17:0.2595365047454834;20:0.3787052631378174
multi_block_queries_query023_0,18,2,10,30,1;2;5;8;3;7;10;12;13;14;21;17;19;20;11;18;15;16,4;9,23;26;29;25;28;24;31;30;27;22,1,1:0.9577040672302246;2:1.5370104312896729;5:1.8710613250732422;8:1.6751410961151123;3:1.8244378566741943;7:1.7526376247406006;10:0.9727864265441895;12:1.0532591342926025;13:2.1741085052490234;14:1.8045928478240967;21:1.995696783065796;17:1.1641087532043457;19:1.8784105777740479;20:1.8185133934020996;11:1.0825250148773193;18:1.6813430786132812;15:1.2041068077087402;16:2.033252477645874
spj_queries_query091_0,1,17,10,28,21,2;3;4;5;6;7;9;10;11;15;14;13;8;18;1;17;19,20;22;25;26;27;24;23;28;29;31,21,21:0.0862891674041748
agg_queries_query013_0,18,0,12,30,16;2;14;11;5;15;4;17;21;18;13;8;7;6;3;19;9;10,,24;22;23;26;27;28;1;12;29;31;25;30,2,16:0.38401222229003906;2:0.036576032638549805;14:0.0449223518371582;11:0.3227207660675049;5:0.04236555099487305;15:0.0458376407623291;4:0.2531473636627197;17:0.047541141510009766;21:0.046173810958862305;18:0.037595510482788086;13:0.11844778060913086;8:0.11134982109069824;7:0.15652704238891602;6:0.04480290412902832;3:1.3245184421539307;19:0.30796146392822266;9:0.04288530349731445;10:0.9715571403503418
spj_queries_query013_0,1,9,19,29,21,1;9;12;2;8;18;14;10;17,30;31;5;3;27;7;19;22;26;23;15;13;29;11;24;20;16;28;25,21,21:0.03853940963745117
