query_id,verified_count,failed_count,error_count,total_count,verified_queries,failed_queries,error_queries,selected_query,query_elapsed_time
query16,21,0,0,21,2;5;1;4;7;3;12;6;9;10;16;8;19;14;13;17;18;20;21;11;15,,,7,2:0.007493734359741211;5:0.007279396057128906;1:0.009216785430908203;4:0.007641792297363281;7:0.0071370601654052734;3:0.011458873748779297;12:0.008289813995361328;6:0.010761737823486328;9:0.01090550422668457;10:0.008097171783447266;16:0.007744789123535156;8:0.013390779495239258;19:0.007540225982666016;14:0.012181282043457031;13:0.011913776397705078;17:0.023467302322387695;18:0.025114059448242188;20:0.025378704071044922;21:0.025603294372558594;11:0.03054189682006836;15:0.029787063598632812
query20,21,0,0,21,1;6;4;13;9;3;5;21;10;8;18;15;11;2;12;14;17;20;16;7;19,,,21,1:0.01983952522277832;6:0.021760940551757812;4:0.019827604293823242;13:0.008885860443115234;9:0.0084075927734375;3:0.009313821792602539;5:0.009358406066894531;21:0.008257389068603516;10:0.009332418441772461;8:0.019972562789916992;18:0.0084991455078125;15:0.011934280395507812;11:0.013084173202514648;2:0.012500524520874023;12:0.013543128967285156;14:0.013703107833862305;17:0.012780427932739258;20:0.012801885604858398;16:0.024643421173095703;7:0.5508382320404053;19:0.5241634845733643
query11,21,0,0,21,1;5;3;2;7;9;10;8;4;11;17;19;15;6;16;12;20;13;21;18;14,,,1,1:0.00648808479309082;5:0.0067713260650634766;3:0.0072820186614990234;2:0.009069681167602539;7:0.00705409049987793;9:0.007509708404541016;10:0.007276296615600586;8:0.009832143783569336;4:0.012827396392822266;11:0.009618520736694336;17:0.0070073604583740234;19:0.006903648376464844;15:0.01014399528503418;6:0.014483928680419922;16:0.009074926376342773;12:0.009958744049072266;20:0.00743865966796875;13:0.01107645034790039;21:0.007917165756225586;18:0.010050535202026367;14:0.011982202529907227
query2,21,0,0,21,9;1;5;8;7;3;4;2;13;6;17;15;16;19;10;11;21;18;12;20;14,,,8,9:0.010735034942626953;1:0.009572744369506836;5:0.009116411209106445;8:0.008255958557128906;7:0.010344505310058594;3:0.014425039291381836;4:0.013173818588256836;2:0.015310287475585938;13:0.008836984634399414;6:0.014400959014892578;17:0.010283470153808594;15:0.008826255798339844;16:0.010555028915405273;19:0.009023666381835938;10:0.015413522720336914;11:0.016850948333740234;21:0.010353803634643555;18:0.012404203414916992;12:0.010192394256591797;20:0.018857479095458984;14:0.024977445602416992
query9,21,0,0,21,2;7;1;10;12;11;4;5;14;15;9;18;17;20;16;13;6;19;21;8;3,,,18,2:0.015428781509399414;7:0.013880252838134766;1:0.018492460250854492;10:0.01461029052734375;12:0.014012575149536133;11:0.01494598388671875;4:0.01592707633972168;5:0.01975536346435547;14:0.013853311538696289;15:0.01470041275024414;9:0.016789674758911133;18:0.013459920883178711;17:0.015588045120239258;20:0.015260457992553711;16:0.01755976676940918;13:0.02154374122619629;6:0.02678394317626953;19:0.021326303482055664;21:0.021707773208618164;8:0.023453712463378906;3:0.041230201721191406
query22,21,0,0,21,7;1;6;21;13;9;5;2;4;11;3;12;18;16;17;14;20;8;15;19;10,,,7,7:0.466475248336792;1:0.5477724075317383;6:0.5648250579833984;21:0.5626404285430908;13:0.5653970241546631;9:0.5722332000732422;5:0.5900802612304688;2:0.6129724979400635;4:0.614884614944458;11:0.609137773513794;3:0.762951135635376;12:0.7530226707458496;18:0.8119616508483887;16:0.9554896354675293;17:1.0573980808258057;14:1.1032772064208984;20:1.2657568454742432;8:1.3006527423858643;15:1.5738551616668701;19:1.6789886951446533;10:3.4200892448425293
query13,21,0,0,21,19;20;4;5;16;18;11;9;7;1;2;13;6;15;10;17;21;3;14;8;12,,,19,19:4.913809776306152;20:5.064725875854492;4:6.083498477935791;5:6.376737117767334;16:5.973980665206909;18:6.150397539138794;11:6.457353115081787;9:7.162724733352661;7:7.323746919631958;1:7.551254749298096;2:8.149251937866211;13:7.632096529006958;6:8.250102281570435;15:7.987550497055054;10:8.267404556274414;17:8.288984537124634;21:9.237076997756958;3:11.312164068222046;14:14.725963830947876;8:16.12339472770691;12:16.046894550323486
query21,19,0,2,21,1;2;8;10;13;16;17;21;19;20;11;9;12;18;7;6;5;14;4,,3;15,21,1:2.381389617919922;2:2.4718778133392334;8:2.185750722885132;10:3.3551549911499023;13:1.9519073963165283;16:2.03778338432312;17:1.9502792358398438;21:1.763028860092163;19:1.949281930923462;20:2.0624475479125977;11:10.930145025253296;9:13.257543802261353;12:39.58417510986328;18:39.95084500312805;7:44.30379605293274;6:45.50255465507507;5:46.35723352432251;14:47.333157777786255;4:83.33324003219604
query15,21,0,0,21,1;2;3;4;6;7;8;10;12;9;11;13;5;15;20;14;18;17;16;21;19,,,12,1:1.5790014266967773;2:1.7862682342529297;3:1.7993888854980469;4:1.5951714515686035;6:1.4310345649719238;7:1.168652057647705;8:1.2366435527801514;10:1.2288904190063477;12:1.1658501625061035;9:1.3526830673217773;11:1.7286465167999268;13:1.8456509113311768;5:3.009495735168457;15:1.9788849353790283;20:1.8022172451019287;14:2.2005615234375;18:1.9982268810272217;17:2.2037742137908936;16:2.2727162837982178;21:2.2109310626983643;19:2.4380900859832764
query6,21,0,0,21,3;2;4;1;5;6;12;18;13;15;16;14;19;8;11;10;17;20;21;7;9,,,3,3:1.394364356994629;2:1.5290422439575195;4:1.4546420574188232;1:1.8428914546966553;5:1.825481653213501;6:1.9840757846832275;12:1.9890546798706055;18:1.7328784465789795;13:2.0552260875701904;15:2.7717065811157227;16:2.816182851791382;14:2.8970987796783447;19:4.451589584350586;8:7.427153587341309;11:7.812697649002075;10:8.277613639831543;17:7.860600471496582;20:8.204965114593506;21:8.573014974594116;7:11.946495771408081;9:11.96181058883667
