dataset_name,dbms,template_id,queries,query_count
dsb,PostgreSQL,1,spj_queries_query091_0.sql,1
dsb,PostgreSQL,2,agg_queries_query013_0.sql,1
dsb,PostgreSQL,3,spj_queries_query018_0.sql,1
dsb,PostgreSQL,4,multi_block_queries_query001_0.sql,1
dsb,PostgreSQL,5,spj_queries_query099_0.sql,1
dsb,PostgreSQL,6,agg_queries_query072_0.sql,1
dsb,PostgreSQL,7,agg_queries_query085_0.sql,1
dsb,PostgreSQL,8,spj_queries_query101_0.sql,1
dsb,PostgreSQL,9,multi_block_queries_query039_0.sql,1
dsb,PostgreSQL,10,spj_queries_query084_0.sql,1
dsb,PostgreSQL,11,multi_block_queries_query094_0.sql,1
dsb,PostgreSQL,12,agg_queries_query025_0.sql,1
dsb,PostgreSQL,13,agg_queries_query099_0.sql,1
dsb,PostgreSQL,14,agg_queries_query084_0.sql,1
dsb,PostgreSQL,15,agg_queries_query101_0.sql,1
dsb,PostgreSQL,16,spj_queries_query100_0.sql,1
dsb,PostgreSQL,17,spj_queries_query072_0.sql,1
dsb,PostgreSQL,18,multi_block_queries_query054_0.sql,1
dsb,PostgreSQL,19,spj_queries_query085_0.sql,1
dsb,PostgreSQL,20,agg_queries_query102_0.sql,1
dsb,PostgreSQL,21,spj_queries_query019_0.sql,1
dsb,PostgreSQL,22,agg_queries_query019_0.sql,1
dsb,PostgreSQL,23,agg_queries_query027_0.sql,1
dsb,PostgreSQL,24,agg_queries_query050_0.sql,1
dsb,PostgreSQL,25,spj_queries_query013_0.sql,1
dsb,PostgreSQL,26,agg_queries_query018_0.sql,1
dsb,PostgreSQL,27,spj_queries_query040_0.sql,1
dsb,PostgreSQL,28,multi_block_queries_query038_0.sql,1
dsb,PostgreSQL,29,multi_block_queries_query058_0.sql,1
dsb,PostgreSQL,30,spj_queries_query050_0.sql,1
dsb,PostgreSQL,31,spj_queries_query102_0.sql,1
dsb,PostgreSQL,32,agg_queries_query040_0.sql,1
dsb,PostgreSQL,33,multi_block_queries_query032_0.sql,1
dsb,PostgreSQL,34,multi_block_queries_query059_0.sql,1
dsb,PostgreSQL,35,multi_block_queries_query065_0.sql,1
dsb,PostgreSQL,36,multi_block_queries_query030_0.sql,1
dsb,PostgreSQL,37,spj_queries_query025_0.sql,1
dsb,PostgreSQL,38,multi_block_queries_query010_0.sql,1
dsb,PostgreSQL,39,spj_queries_query027_0.sql,1
dsb,PostgreSQL,40,multi_block_queries_query081_0.sql,1
dsb,PostgreSQL,41,agg_queries_query091_0.sql,1
dsb,PostgreSQL,42,multi_block_queries_query092_0.sql,1
dsb,PostgreSQL,43,multi_block_queries_query014_0.sql,1
dsb,PostgreSQL,44,multi_block_queries_query064_0.sql,1
dsb,PostgreSQL,45,multi_block_queries_query069_0.sql,1
dsb,PostgreSQL,46,multi_block_queries_query087_0.sql,1
dsb,PostgreSQL,47,agg_queries_query100_0.sql,1
dsb,PostgreSQL,48,multi_block_queries_query023_0.sql,1
dsb,PostgreSQL,49,multi_block_queries_query080_0.sql,1
dsb,PostgreSQL,50,multi_block_queries_query031_0.sql,1
dsb,PostgreSQL,51,multi_block_queries_query075_0.sql,1
dsb,PostgreSQL,52,multi_block_queries_query083_0.sql,1
