query_id,template_id,params
spj_queries_query091_0.sql,1,"{""###_A"": ""1999"", ""###_B"": ""5"", ""&&&_A"": ""'M'"", ""&&&_B"": ""'Unknown'"", ""&&&_C"": ""'W'"", ""&&&_D"": ""'Advanced Degree'"", ""&&&_E"": ""'0-500%'"", ""###_C"": ""7""}"
agg_queries_query013_0.sql,2,"{""###_A"": ""2001"", ""&&&_A"": ""'U'"", ""&&&_B"": ""'College'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""###_B"": ""3"", ""&&&_C"": ""'W'"", ""&&&_D"": ""'2 yr Degree'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""###_C"": ""1"", ""&&&_E"": ""'S'"", ""&&&_F"": ""'College'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""###_D"": ""1"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('IN', 'NM', 'VA')"", ""###_E"": ""100"", ""###_F"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('MT', 'OH', 'OR')"", ""###_G"": ""150"", ""###_H"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('GA', 'IL', 'TX')"", ""###_I"": ""50"", ""###_J"": ""250""}"
spj_queries_query018_0.sql,3,"{""&&&_A"": ""'F'"", ""&&&_B"": ""'College'"", ""###_A"": ""2001"", ""###_B"": ""5"", ""N_SSS_A"": ""('MT',\n                   'OH',\n                   'OR')"", ""###_C"": ""84"", ""###_D"": ""89"", ""&&&_C"": ""'Jewelry'""}"
multi_block_queries_query001_0.sql,4,"{""###_A"": ""2001"", ""###_B"": ""236"", ""###_C"": ""295"", ""^^^_A"": ""1.2"", ""###_D"": ""28"", ""###_E"": ""31"", ""N_SSS_A"": ""('MI',\n                  'NC',\n                  'WI')"", ""N_SSS_B"": ""('W',\n                            'W')"", ""N_SSS_C"": ""('4 yr Degree',\n                              'College')"", ""&&&_A"": ""'M'"", ""###_F"": ""5"", ""###_G"": ""1950"", ""###_H"": ""1956"", ""###_I"": ""100""}"
spj_queries_query099_0.sql,5,"{""###_A"": ""1193"", ""###_B"": ""1193"", ""###_C"": ""23"", ""###_D"": ""77"", ""###_E"": ""106"", ""&&&_A"": ""'TWO DAY'"", ""&&&_B"": ""'small'"", ""###_F"": ""5""}"
agg_queries_query072_0.sql,6,"{""###_A"": ""1"", ""###_B"": ""0"", ""###_C"": ""1"", ""###_D"": ""0"", ""&&&_A"": ""'3 day'"", ""&&&_B"": ""'1001-5000'"", ""###_E"": ""2001"", ""&&&_C"": ""'U'"", ""###_F"": ""5"", ""###_G"": ""7"", ""N_SSS_A"": ""('Books',\n                     'Home',\n                     'Sports')"", ""###_H"": ""80"", ""###_I"": ""100"", ""###_J"": ""100""}"
agg_queries_query085_0.sql,7,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""1998"", ""&&&_A"": ""'W'"", ""&&&_B"": ""'2 yr Degree'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""&&&_C"": ""'S'"", ""&&&_D"": ""'College'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""&&&_E"": ""'D'"", ""&&&_F"": ""'Advanced Degree'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('GA',\n                         'IN',\n                         'VA')"", ""###_D"": ""100"", ""###_E"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('MT',\n                            'NM',\n                            'OR')"", ""###_F"": ""150"", ""###_G"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('GA',\n                            'IL',\n                            'OH')"", ""###_H"": ""50"", ""###_I"": ""250"", ""###_J"": ""1"", ""###_K"": ""20"", ""###_L"": ""100""}"
spj_queries_query101_0.sql,8,"{""N_SSS_A"": ""('Books',\n                     'Shoes',\n                     'Sports')"", ""&&&_A"": ""'90 day'"", ""N_SSS_B"": ""('IN',\n                   'MT',\n                   'NM',\n                   'OH',\n                   'OR')"", ""###_A"": ""1999"", ""###_B"": ""14"", ""###_C"": ""20"", ""&&&_B"": ""'5001-10000'"", ""###_D"": ""80"", ""^^^_A"": ""0.01"", ""###_E"": ""100"", ""^^^_B"": ""0.01""}"
multi_block_queries_query039_0.sql,9,"{""###_A"": ""0"", ""###_B"": ""1998"", ""N_SSS_A"": ""('Books',\n                           'Home')"", ""###_C"": ""28"", ""###_D"": ""47"", ""###_E"": ""225"", ""###_F"": ""425"", ""###_G"": ""0"", ""###_H"": ""0"", ""###_I"": ""1"", ""###_J"": ""2"", ""###_K"": ""2"", ""###_L"": ""1"", ""###_M"": ""0"", ""###_N"": ""1998"", ""N_SSS_B"": ""('Books',\n                           'Home')"", ""###_O"": ""28"", ""###_P"": ""47"", ""###_Q"": ""225"", ""###_R"": ""425"", ""###_S"": ""0"", ""###_T"": ""0"", ""###_U"": ""1"", ""###_V"": ""2"", ""###_W"": ""2"", ""###_X"": ""1"", ""^^^_A"": ""1.5""}"
spj_queries_query084_0.sql,10,"{""&&&_A"": ""'Hopewell'"", ""###_A"": ""3"", ""###_B"": ""10000"", ""###_C"": ""3"", ""###_D"": ""10000"", ""###_E"": ""50000""}"
multi_block_queries_query094_0.sql,11,"{""&&&_A"": ""'2000-10-01'"", ""&&&_B"": ""'2000-10-01'"", ""&&&_C"": ""'60 day'"", ""N_SSS_A"": ""('IA',\n                   'IN',\n                   'MT',\n                   'NE',\n                   'OK',\n                   'TX')"", ""###_A"": ""7"", ""###_B"": ""141"", ""###_C"": ""170"", ""N_III_A"": ""(7, 10, 12, 29, 45)"", ""###_D"": ""100""}"
agg_queries_query025_0.sql,12,"{""###_A"": ""8"", ""###_B"": ""2001"", ""###_C"": ""8"", ""###_D"": ""8"", ""###_E"": ""2"", ""###_F"": ""2001"", ""###_G"": ""8"", ""###_H"": ""8"", ""###_I"": ""2"", ""###_J"": ""2001"", ""###_K"": ""100""}"
agg_queries_query099_0.sql,13,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""30"", ""###_D"": ""1"", ""###_E"": ""0"", ""###_F"": ""30"", ""###_G"": ""30"", ""###_H"": ""60"", ""###_I"": ""1"", ""###_J"": ""0"", ""###_K"": ""31"", ""###_L"": ""60"", ""###_M"": ""60"", ""###_N"": ""90"", ""###_O"": ""1"", ""###_P"": ""0"", ""###_Q"": ""61"", ""###_R"": ""90"", ""###_S"": ""90"", ""###_T"": ""120"", ""###_U"": ""1"", ""###_V"": ""0"", ""###_W"": ""91"", ""###_X"": ""120"", ""###_Y"": ""120"", ""###_Z"": ""1"", ""###_AA"": ""0"", ""###_AB"": ""120"", ""###_AC"": ""1193"", ""###_AD"": ""1193"", ""###_AE"": ""23"", ""###_AF"": ""77"", ""###_AG"": ""106"", ""&&&_A"": ""'TWO DAY'"", ""&&&_B"": ""'small'"", ""###_AH"": ""5"", ""###_AI"": ""1"", ""###_AJ"": ""20"", ""###_AK"": ""1"", ""###_AL"": ""20"", ""###_AM"": ""100""}"
agg_queries_query084_0.sql,14,"{""&&&_A"": ""''"", ""&&&_B"": ""', '"", ""&&&_C"": ""''"", ""&&&_D"": ""'Hopewell'"", ""###_A"": ""32287"", ""###_B"": ""32287"", ""###_C"": ""50000"", ""###_D"": ""100""}"
agg_queries_query101_0.sql,15,"{""N_SSS_A"": ""('Books',\n                     'Shoes',\n                     'Sports')"", ""&&&_A"": ""'90 day'"", ""N_SSS_B"": ""('IN',\n                   'MT',\n                   'NM',\n                   'OH',\n                   'OR')"", ""###_A"": ""1999"", ""###_B"": ""14"", ""###_C"": ""20"", ""&&&_B"": ""'5001-10000'"", ""###_D"": ""80"", ""^^^_A"": ""0.01"", ""###_E"": ""100"", ""^^^_B"": ""0.01""}"
