query_id,template_id,params
agg_queries_query085_35.sql,1,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""2001"", ""&&&_A"": ""'W'"", ""&&&_B"": ""'Unknown'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""&&&_C"": ""'S'"", ""&&&_D"": ""'College'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""&&&_E"": ""'D'"", ""&&&_F"": ""'Primary'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('LA',\n                         'OK',\n                         'TN')"", ""###_D"": ""100"", ""###_E"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('IA',\n                            'TX',\n                            'WA')"", ""###_F"": ""150"", ""###_G"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('MS',\n                            'OR',\n                            'TX')"", ""###_H"": ""50"", ""###_I"": ""250"", ""###_J"": ""1"", ""###_K"": ""20"", ""###_L"": ""100""}"
agg_queries_query085_4.sql,1,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""1998"", ""&&&_A"": ""'U'"", ""&&&_B"": ""'Secondary'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""&&&_C"": ""'S'"", ""&&&_D"": ""'4 yr Degree'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""&&&_E"": ""'W'"", ""&&&_F"": ""'Primary'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('IA',\n                         'IN',\n                         'MT')"", ""###_D"": ""100"", ""###_E"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('CA',\n                            'OK',\n                            'RI')"", ""###_F"": ""150"", ""###_G"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('KS',\n                            'PA',\n                            'TX')"", ""###_H"": ""50"", ""###_I"": ""250"", ""###_J"": ""1"", ""###_K"": ""20"", ""###_L"": ""100""}"
agg_queries_query085_79.sql,1,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""2001"", ""&&&_A"": ""'U'"", ""&&&_B"": ""'Secondary'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""&&&_C"": ""'D'"", ""&&&_D"": ""'2 yr Degree'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""&&&_E"": ""'W'"", ""&&&_F"": ""'Advanced Degree'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('IN',\n                         'MN',\n                         'MO')"", ""###_D"": ""100"", ""###_E"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('KS',\n                            'MO',\n                            'SD')"", ""###_F"": ""150"", ""###_G"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('NE',\n                            'SC',\n                            'TN')"", ""###_H"": ""50"", ""###_I"": ""250"", ""###_J"": ""1"", ""###_K"": ""20"", ""###_L"": ""100""}"
agg_queries_query085_94.sql,1,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""2001"", ""&&&_A"": ""'S'"", ""&&&_B"": ""'4 yr Degree'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""&&&_C"": ""'D'"", ""&&&_D"": ""'Primary'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""&&&_E"": ""'M'"", ""&&&_F"": ""'Unknown'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('MD',\n                         'MT',\n                         'NM')"", ""###_D"": ""100"", ""###_E"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('AR',\n                            'AZ',\n                            'SD')"", ""###_F"": ""150"", ""###_G"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('KS',\n                            'MS',\n                            'TX')"", ""###_H"": ""50"", ""###_I"": ""250"", ""###_J"": ""1"", ""###_K"": ""20"", ""###_L"": ""100""}"
agg_queries_query085_34.sql,1,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""1998"", ""&&&_A"": ""'W'"", ""&&&_B"": ""'College'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""&&&_C"": ""'S'"", ""&&&_D"": ""'Secondary'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""&&&_E"": ""'D'"", ""&&&_F"": ""'Primary'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('NE',\n                         'TX',\n                         'VA')"", ""###_D"": ""100"", ""###_E"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('CO',\n                            'IL',\n                            'KY')"", ""###_F"": ""150"", ""###_G"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('CA',\n                            'ID',\n                            'VA')"", ""###_H"": ""50"", ""###_I"": ""250"", ""###_J"": ""1"", ""###_K"": ""20"", ""###_L"": ""100""}"
agg_queries_query085_0.sql,1,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""1998"", ""&&&_A"": ""'W'"", ""&&&_B"": ""'2 yr Degree'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""&&&_C"": ""'S'"", ""&&&_D"": ""'College'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""&&&_E"": ""'D'"", ""&&&_F"": ""'Advanced Degree'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('GA',\n                         'IN',\n                         'VA')"", ""###_D"": ""100"", ""###_E"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('MT',\n                            'NM',\n                            'OR')"", ""###_F"": ""150"", ""###_G"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('GA',\n                            'IL',\n                            'OH')"", ""###_H"": ""50"", ""###_I"": ""250"", ""###_J"": ""1"", ""###_K"": ""20"", ""###_L"": ""100""}"
agg_queries_query085_99.sql,1,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""2001"", ""&&&_A"": ""'S'"", ""&&&_B"": ""'Advanced Degree'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""&&&_C"": ""'D'"", ""&&&_D"": ""'Secondary'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""&&&_E"": ""'W'"", ""&&&_F"": ""'Unknown'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('IN',\n                         'SD',\n                         'TX')"", ""###_D"": ""100"", ""###_E"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('GA',\n                            'OH',\n                            'SC')"", ""###_F"": ""150"", ""###_G"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('CA',\n                            'FL',\n                            'IA')"", ""###_H"": ""50"", ""###_I"": ""250"", ""###_J"": ""1"", ""###_K"": ""20"", ""###_L"": ""100""}"
agg_queries_query085_64.sql,1,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""2000"", ""&&&_A"": ""'S'"", ""&&&_B"": ""'Primary'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""&&&_C"": ""'D'"", ""&&&_D"": ""'Advanced Degree'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""&&&_E"": ""'W'"", ""&&&_F"": ""'2 yr Degree'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('IA',\n                         'OH',\n                         'VT')"", ""###_D"": ""100"", ""###_E"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('NY',\n                            'TX',\n                            'VA')"", ""###_F"": ""150"", ""###_G"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('KS',\n                            'MA',\n                            'OH')"", ""###_H"": ""50"", ""###_I"": ""250"", ""###_J"": ""1"", ""###_K"": ""20"", ""###_L"": ""100""}"
agg_queries_query085_84.sql,1,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""1999"", ""&&&_A"": ""'M'"", ""&&&_B"": ""'Primary'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""&&&_C"": ""'S'"", ""&&&_D"": ""'4 yr Degree'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""&&&_E"": ""'W'"", ""&&&_F"": ""'Secondary'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('GA',\n                         'KS',\n                         'MN')"", ""###_D"": ""100"", ""###_E"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('FL',\n                            'IL',\n                            'IN')"", ""###_F"": ""150"", ""###_G"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('LA',\n                            'MO',\n                            'SC')"", ""###_H"": ""50"", ""###_I"": ""250"", ""###_J"": ""1"", ""###_K"": ""20"", ""###_L"": ""100""}"
agg_queries_query085_37.sql,1,"{""###_A"": ""1"", ""###_B"": ""20"", ""###_C"": ""2001"", ""&&&_A"": ""'M'"", ""&&&_B"": ""'Unknown'"", ""^^^_A"": ""100.00"", ""^^^_B"": ""150.00"", ""&&&_C"": ""'S'"", ""&&&_D"": ""'College'"", ""^^^_C"": ""50.00"", ""^^^_D"": ""100.00"", ""&&&_E"": ""'D'"", ""&&&_F"": ""'2 yr Degree'"", ""^^^_E"": ""150.00"", ""^^^_F"": ""200.00"", ""&&&_G"": ""'United States'"", ""N_SSS_A"": ""('KY',\n                         'TN',\n                         'WA')"", ""###_D"": ""100"", ""###_E"": ""200"", ""&&&_H"": ""'United States'"", ""N_SSS_B"": ""('IA',\n                            'MN',\n                            'NE')"", ""###_F"": ""150"", ""###_G"": ""300"", ""&&&_I"": ""'United States'"", ""N_SSS_C"": ""('AL',\n                            'AZ',\n                            'KY')"", ""###_H"": ""50"", ""###_I"": ""250"", ""###_J"": ""1"", ""###_K"": ""20"", ""###_L"": ""100""}"
