dataset_name,dbms,template_id,queries,query_count
tpch,PostgreSQL,1,query14.sql,1
tpch,PostgreSQL,2,query17.sql,1
tpch,PostgreSQL,3,query4.sql,1
tpch,PostgreSQL,4,query3.sql,1
tpch,PostgreSQL,5,query11.sql,1
tpch,PostgreSQL,6,query10.sql,1
tpch,PostgreSQL,7,query13.sql,1
tpch,PostgreSQL,8,query5.sql,1
tpch,PostgreSQL,9,query20.sql,1
tpch,PostgreSQL,10,query16.sql,1
tpch,PostgreSQL,11,query18.sql,1
tpch,PostgreSQL,12,query9.sql,1
tpch,PostgreSQL,13,query8.sql,1
tpch,PostgreSQL,14,query1.sql,1
tpch,PostgreSQL,15,query12.sql,1
tpch,PostgreSQL,16,query7.sql,1
tpch,PostgreSQL,17,query22.sql,1
tpch,PostgreSQL,18,query15.sql,1
tpch,PostgreSQL,19,query2.sql,1
tpch,PostgreSQL,20,query21.sql,1
tpch,PostgreSQL,21,query19.sql,1
tpch,PostgreSQL,22,query6.sql,1
